subject,experiment,task_type,trial_number,target_pair_type,target_pair_condition,target_triad_index,response_correct,response_time
5,1a,speeded_recognition,28,AB,blocked,2,correct,2929
5,1a,speeded_recognition,29,foil,intermixed,N/A,correct,1785
5,1a,speeded_recognition,30,BC,intermixed,4,correct,1570
5,1a,speeded_recognition,31,foil,intermixed,N/A,correct,1095
5,1a,speeded_recognition,32,BC,blocked,1,correct,1167
5,1a,speeded_recognition,33,BC,intermixed,5,correct,2992
5,1a,speeded_recognition,34,foil,intermixed,N/A,correct,1761
5,1a,speeded_recognition,35,AC,blocked,1,correct,1781
5,1a,speeded_recognition,36,AB,intermixed,4,correct,1917
5,1a,speeded_recognition,37,AB,blocked,2,correct,1139
5,1a,speeded_recognition,38,foil,intermixed,N/A,correct,1269
5,1a,speeded_recognition,39,AC,blocked,3,incorrect,2713
5,1a,speeded_recognition,40,BC,intermixed,5,correct,1755
5,1a,speeded_recognition,41,BC,blocked,3,correct,1640
5,1a,speeded_recognition,42,foil,blocked,N/A,correct,1924
5,1a,speeded_recognition,43,AB,intermixed,6,correct,1312
5,1a,speeded_recognition,44,AB,blocked,3,correct,2583
5,1a,speeded_recognition,45,foil,blocked,N/A,correct,1188
5,1a,speeded_recognition,46,AC,intermixed,5,correct,1165
5,1a,speeded_recognition,47,BC,blocked,1,correct,3285
5,1a,speeded_recognition,48,AB,intermixed,6,correct,1612
5,1a,explicit_inference,1,AC,intermixed,5,correct,11369
5,1a,explicit_inference,2,AC,blocked,3,correct,2384
5,1a,explicit_inference,3,AC,intermixed,6,correct,4108
5,1a,explicit_inference,4,AC,blocked,2,correct,3328
5,1a,explicit_inference,5,AC,blocked,1,correct,2674
5,1a,explicit_inference,6,AC,intermixed,4,correct,3762
5,1a,explicit_inference,7,AC,intermixed,5,incorrect,5373
5,1a,explicit_inference,8,AC,blocked,3,correct,2045
5,1a,explicit_inference,9,AC,intermixed,6,correct,5568
5,1a,explicit_inference,10,AC,blocked,1,correct,3313
5,1a,explicit_inference,11,AC,blocked,2,correct,4967
5,1a,explicit_inference,12,AC,intermixed,4,correct,2715
6,1a,speeded_recognition,1,AC,intermixed,6,correct,1863
6,1a,speeded_recognition,2,BC,blocked,1,correct,1053
6,1a,speeded_recognition,3,AB,intermixed,5,correct,1161
6,1a,speeded_recognition,4,AC,blocked,1,incorrect,1164
6,1a,speeded_recognition,5,AC,intermixed,5,correct,1135
6,1a,speeded_recognition,6,BC,blocked,2,correct,931
6,1a,speeded_recognition,7,AB,intermixed,4,incorrect,1332
6,1a,speeded_recognition,8,foil,intermixed,N/A,correct,1172
6,1a,speeded_recognition,9,AB,blocked,2,correct,1133
